TRANSACTION_ID,ACCOUNT_ID,TRANSACTION_DATE,TRANSACTION_TYPE,TRANSACTION_AMOUNT,CHANNEL,MERCHANT_CATEGORY,DESCRIPTION,POST_DATE,CURRENCY_CODE
H000000001,A00000004,02NOV2023,PMT,1449.57,MOBILE,5411,PMT ACH REF697904,02NOV2023,USD
H000000002,A00000005,02NOV2023,PMT,209.68,POS,5541,PMT ATM REF496557,02NOV2023,USD
H000000003,A00000015,02NOV2023,DEP,136.78,WIRE,5411,DEP ATM REF245309,03NOV2023,USD
H000000004,A00000015,02NOV2023,DEP,215.13,BRANCH,5541,DEP ACH REF229825,02NOV2023,USD
H000000005,A00000017,02NOV2023,FEE,35.00,WIRE,5912,FEE ONLINE REF561521,02NOV2023,USD
H000000006,A00000017,02NOV2023,WDR,127.47,ONLINE,5411,WDR ATM REF381475,02NOV2023,USD
H000000007,A00000020,02NOV2023,INT,4.13,POS,5411,INT MOBILE REF386767,02NOV2023,USD
H000000008,A00000020,02NOV2023,WDR,637.58,WIRE,5812,WDR MOBILE REF819932,02NOV2023,USD
H000000009,A00000022,02NOV2023,INT,102.97,POS,5541,INT MOBILE REF656317,02NOV2023,USD
H000000010,A00000022,02NOV2023,FEE,25.00,ONLINE,5912,FEE POS REF623117,03NOV2023,USD
H000000011,A00000028,02NOV2023,INT,238.60,BRANCH,5912,INT BRANCH REF911496,02NOV2023,USD
H000000012,A00000031,02NOV2023,REV,3.56,ATM,5541,REV POS REF759130,02NOV2023,USD
H000000013,A00000032,02NOV2023,WDR,229.18,ATM,0000,WDR ATM REF892213,02NOV2023,USD
H000000014,A00000032,02NOV2023,WDR,312.58,ACH,5541,WDR ONLINE REF109267,02NOV2023,USD
H000000015,A00000033,02NOV2023,INT,183.98,MOBILE,5812,INT WIRE REF918555,02NOV2023,USD
H000000016,A00000033,02NOV2023,INT,239.77,BRANCH,5812,INT POS REF266021,02NOV2023,USD
H000000017,A00000033,02NOV2023,FEE,9.95,MOBILE,5912,FEE MOBILE REF658191,02NOV2023,USD
H000000018,A00000034,02NOV2023,TRF,-2304.19,MOBILE,7011,TRF BRANCH REF427476,02NOV2023,USD
H000000019,A00000037,02NOV2023,TRF,32.14,WIRE,5541,TRF POS REF194615,02NOV2023,USD
H000000020,A00000039,02NOV2023,WDR,183.13,WIRE,6011,WDR POS REF180620,02NOV2023,USD
H000000021,A00000039,02NOV2023,WDR,198.06,WIRE,5411,WDR ATM REF203777,02NOV2023,USD
H000000022,A00000047,02NOV2023,CHG,9.95,WIRE,5411,CHG ONLINE REF157763,02NOV2023,USD
H000000023,A00000047,02NOV2023,INT,150.61,WIRE,7011,INT ATM REF143478,02NOV2023,USD
H000000024,A00000047,02NOV2023,PMT,556.52,POS,5912,PMT ACH REF440061,02NOV2023,USD
H000000025,A00000052,02NOV2023,CHG,3.00,ATM,6011,CHG POS REF465083,02NOV2023,USD
H000000026,A00000054,02NOV2023,CHG,3.00,ACH,5812,CHG BRANCH REF730470,02NOV2023,USD
H000000027,A00000054,02NOV2023,FEE,9.95,MOBILE,4900,FEE ATM REF913287,03NOV2023,USD
H000000028,A00000055,02NOV2023,CHG,35.00,ATM,5541,CHG POS REF409024,02NOV2023,USD
H000000029,A00000060,02NOV2023,INT,64.20,WIRE,5812,INT ACH REF576813,02NOV2023,USD
H000000030,A00000060,02NOV2023,WDR,564.21,BRANCH,5541,WDR POS REF440802,02NOV2023,USD
H000000031,A00000062,02NOV2023,WDR,106.61,MOBILE,4900,WDR BRANCH REF311164,02NOV2023,USD
H000000032,A00000065,02NOV2023,WDR,90.58,BRANCH,5912,WDR ONLINE REF868059,03NOV2023,USD
H000000033,A00000065,02NOV2023,WDR,52.83,ATM,4900,WDR MOBILE REF860455,02NOV2023,USD
H000000034,A00000065,02NOV2023,WDR,97.79,WIRE,5912,WDR WIRE REF347489,02NOV2023,USD
H000000035,A00000071,02NOV2023,PMT,742.51,ONLINE,6011,PMT ATM REF858818,02NOV2023,USD
H000000036,A00000076,02NOV2023,CHG,35.00,ACH,5912,CHG ONLINE REF985697,03NOV2023,USD
H000000037,A00000076,02NOV2023,PMT,2019.32,ATM,5812,PMT ATM REF414269,02NOV2023,USD
H000000038,A00000077,02NOV2023,TRF,5.26,WIRE,7011,TRF ACH REF793047,02NOV2023,USD
H000000039,A00000077,02NOV2023,ADJ,-262.14,POS,4900,ADJ POS REF726196,02NOV2023,USD
H000000040,A00000077,02NOV2023,WDR,665.37,POS,7011,WDR POS REF640035,03NOV2023,USD
H000000041,A00000082,02NOV2023,REV,20.27,ONLINE,7011,REV ACH REF446492,02NOV2023,USD
H000000042,A00000084,02NOV2023,CHG,25.00,ONLINE,5912,CHG BRANCH REF647360,02NOV2023,USD
H000000043,A00000084,02NOV2023,INT,219.46,BRANCH,5912,INT POS REF990172,02NOV2023,USD
H000000044,A00000089,02NOV2023,INT,167.53,BRANCH,4900,INT WIRE REF430605,02NOV2023,USD
H000000045,A00000089,02NOV2023,CHG,3.00,ONLINE,5912,CHG MOBILE REF984017,02NOV2023,USD
H000000046,A00000093,02NOV2023,WDR,21.93,WIRE,7011,WDR ATM REF995633,02NOV2023,USD
H000000047,A00000093,02NOV2023,DEP,90.16,ONLINE,4900,DEP ACH REF977456,02NOV2023,USD
H000000048,A00000097,02NOV2023,INT,26.88,ATM,5541,INT BRANCH REF674918,02NOV2023,USD
H000000049,A00000098,02NOV2023,WDR,29.21,ONLINE,4900,WDR ONLINE REF703667,02NOV2023,USD
H000000050,A00000099,02NOV2023,CHG,12.00,MOBILE,0000,CHG ATM REF692781,02NOV2023,USD
H000000051,A00000105,02NOV2023,CHG,9.95,BRANCH,5541,CHG ATM REF909937,02NOV2023,USD
H000000052,A00000107,02NOV2023,FEE,25.00,ONLINE,7011,FEE WIRE REF359762,02NOV2023,USD
H000000053,A00000109,02NOV2023,PMT,703.69,ACH,5411,PMT BRANCH REF111155,02NOV2023,USD
