CUSTOMER_ID,SCORE_DATE,FICO_SCORE,VANTAGE_SCORE,BUREAU_INQS_6MO,BUREAU_TRADES_OPEN,BUREAU_DEROGS,BUREAU_UTIL_PCT,BUREAU_OLDEST_TRADE_MO
C0000001,31OCT2023,538,518,0,23,0,14.46,167
C0000001,31DEC2023,518,500,2,13,0,46.32,168
C0000002,31OCT2023,637,636,1,21,1,77.91,189
C0000002,31DEC2023,650,629,0,1,1,56.52,389
C0000003,31OCT2023,733,709,0,22,0,91.69,100
C0000003,31DEC2023,741,733,0,16,0,65.32,6
C0000004,31OCT2023,655,664,0,22,1,92.08,44
C0000004,31DEC2023,656,632,1,16,0,32.92,240
C0000005,31OCT2023,610,602,0,7,0,71.00,244
C0000005,31DEC2023,609,614,1,14,0,47.81,325
C0000006,31OCT2023,696,703,1,24,0,50.66,282
C0000006,31DEC2023,684,678,0,6,0,66.07,164
C0000007,31OCT2023,568,586,3,15,0,74.71,383
C0000007,31DEC2023,560,552,0,22,0,21.23,64
C0000008,31OCT2023,677,666,3,7,0,30.10,11
C0000008,31DEC2023,659,638,3,3,0,40.24,137
C0000009,31OCT2023,571,549,0,8,0,29.24,243
C0000009,31DEC2023,555,574,5,1,0,64.28,228
C0000010,31OCT2023,789,782,1,2,0,80.98,43
C0000010,31DEC2023,755,767,1,7,0,38.53,295
C0000011,31OCT2023,739,734,1,20,0,80.59,284
C0000011,31DEC2023,735,714,0,5,0,38.07,25
C0000012,31OCT2023,552,544,0,3,0,65.61,61
C0000012,31DEC2023,556,539,1,13,0,7.27,234
C0000013,31OCT2023,686,685,0,7,2,16.55,186
C0000013,31DEC2023,702,707,1,24,1,88.91,356
C0000014,31OCT2023,674,676,0,11,0,55.86,177
C0000014,31DEC2023,646,638,1,18,1,87.93,283
C0000015,31OCT2023,626,606,2,5,0,16.65,366
C0000015,31DEC2023,630,653,0,20,0,14.45,266
C0000016,31OCT2023,693,686,0,19,0,31.74,350
C0000016,31DEC2023,718,729,0,18,0,63.52,26
C0000017,31OCT2023,588,603,0,8,0,46.77,347
C0000017,31DEC2023,594,612,2,11,0,3.99,318
C0000018,31OCT2023,748,726,2,9,4,77.26,117
C0000018,31DEC2023,743,766,0,13,0,50.94,15
C0000019,31OCT2023,588,607,0,24,0,88.64,154
C0000019,31DEC2023,568,584,0,6,0,43.46,318
C0000020,31OCT2023,542,533,1,4,1,9.53,20
C0000020,31DEC2023,561,557,5,13,0,97.10,227
C0000021,31OCT2023,795,776,5,8,0,65.32,308
C0000021,31DEC2023,794,797,0,16,4,6.52,132
C0000022,31OCT2023,745,757,0,23,0,92.87,397
C0000022,31DEC2023,749,774,5,6,0,19.80,222
C0000023,31OCT2023,566,550,0,22,0,29.03,344
C0000023,31DEC2023,569,558,0,24,0,33.16,141
C0000024,31OCT2023,724,747,5,23,0,81.73,109
C0000024,31DEC2023,714,705,1,7,0,77.54,386
C0000025,31OCT2023,689,701,0,17,0,82.96,202
C0000025,31DEC2023,715,694,0,12,0,2.29,38
C0000026,31OCT2023,780,777,2,13,0,26.38,417
C0000026,31DEC2023,780,790,3,19,0,71.32,7
C0000027,31OCT2023,732,754,0,22,0,26.89,397
C0000027,31DEC2023,729,704,0,2,2,24.45,397
C0000028,31OCT2023,747,722,0,14,0,7.58,394
C0000028,31DEC2023,743,741,2,5,1,97.07,284
C0000029,31OCT2023,553,544,0,7,0,89.06,420
C0000029,31DEC2023,539,548,8,19,0,23.06,57
C0000030,31OCT2023,791,780,0,9,2,7.63,201
C0000030,31DEC2023,823,807,3,15,0,50.91,323
C0000031,31OCT2023,617,636,5,7,2,32.37,359
C0000031,31DEC2023,599,613,2,3,0,61.86,285
C0000032,31OCT2023,776,795,5,17,1,31.33,124
C0000032,31DEC2023,765,748,1,23,0,16.78,206
C0000033,31OCT2023,577,573,2,20,0,72.15,357
C0000033,31DEC2023,568,567,1,17,0,29.65,348
C0000034,31OCT2023,559,534,5,14,1,79.21,341
C0000034,31DEC2023,541,556,1,11,0,96.67,395
C0000035,31OCT2023,809,784,0,21,0,54.10,126
C0000035,31DEC2023,790,784,0,23,0,22.43,290
C0000036,31OCT2023,741,738,8,16,0,43.95,113
C0000036,31DEC2023,745,743,1,15,0,9.27,326
C0000037,31OCT2023,576,585,0,9,0,2.36,19
C0000037,31DEC2023,576,582,0,6,0,49.14,135
C0000038,31OCT2023,579,563,0,9,0,69.76,207
C0000038,31DEC2023,565,558,3,6,0,67.36,250
C0000039,31OCT2023,615,619,0,21,0,69.68,83
C0000039,31DEC2023,610,620,0,15,0,11.89,331
C0000040,31OCT2023,765,780,0,4,0,93.83,207
C0000040,31DEC2023,739,762,2,15,0,46.46,15
C0000041,31OCT2023,756,765,1,6,0,71.66,79
C0000041,31DEC2023,764,786,3,7,0,27.60,133
C0000042,31OCT2023,516,496,1,12,0,62.22,340
C0000042,31DEC2023,511,521,1,6,0,23.78,303
C0000043,31OCT2023,621,639,0,15,0,57.47,174
C0000043,31DEC2023,642,622,1,9,2,23.54,191
C0000044,31OCT2023,818,825,5,2,1,42.10,150
C0000044,31DEC2023,814,814,1,5,0,20.46,132
C0000045,31OCT2023,576,574,2,19,0,5.13,412
C0000045,31DEC2023,553,541,0,6,0,9.34,380
C0000046,31OCT2023,786,785,2,2,1,53.48,120
C0000046,31DEC2023,797,783,1,3,4,13.28,84
C0000047,31OCT2023,530,538,2,20,0,14.74,323
C0000047,31DEC2023,512,529,1,17,0,4.49,164
C0000048,31OCT2023,695,708,0,22,0,29.78,279
C0000048,31DEC2023,684,705,1,11,0,87.52,228
C0000049,31OCT2023,824,799,0,19,0,77.09,420
C0000049,31DEC2023,817,829,3,24,1,93.06,318
C0000050,31OCT2023,758,781,5,12,1,67.36,378
C0000050,31DEC2023,765,763,1,16,1,14.09,259
C0000051,31OCT2023,613,600,0,10,2,40.71,191
C0000051,31DEC2023,604,585,1,18,2,16.61,146
C0000052,31OCT2023,625,650,0,2,0,57.85,136
C0000052,31DEC2023,649,641,0,6,0,15.87,70
C0000053,31OCT2023,801,792,0,19,0,97.03,9
C0000053,31DEC2023,810,787,2,16,0,89.98,285
C0000054,31OCT2023,583,564,1,5,0,97.41,123
C0000054,31DEC2023,576,568,0,1,0,60.68,355
C0000055,31OCT2023,785,788,2,14,0,5.86,53
C0000055,31DEC2023,779,764,0,18,2,65.06,265
C0000056,31OCT2023,601,624,8,10,0,49.20,313
C0000056,31DEC2023,604,603,0,14,0,49.52,31
C0000057,31OCT2023,632,652,1,23,0,59.18,52
C0000057,31DEC2023,637,651,0,17,1,83.31,359
C0000058,31OCT2023,654,639,3,8,0,22.71,125
C0000058,31DEC2023,645,636,0,21,0,38.40,52
C0000059,31OCT2023,613,598,2,11,0,78.65,324
C0000059,31DEC2023,610,633,1,18,0,94.74,290
C0000060,31OCT2023,548,550,1,23,0,30.70,152
C0000060,31DEC2023,584,564,0,21,0,25.33,88
C0000061,31OCT2023,749,769,3,4,0,31.79,189
C0000061,31DEC2023,745,748,2,12,0,66.72,303
C0000062,31OCT2023,595,580,0,11,0,49.53,401
C0000062,31DEC2023,605,587,3,18,2,59.33,172
C0000063,31OCT2023,788,808,0,4,1,55.67,273
C0000063,31DEC2023,793,811,3,12,0,92.67,69
C0000064,31OCT2023,577,560,0,5,1,50.04,329
C0000064,31DEC2023,583,595,0,19,0,63.86,255
C0000065,31OCT2023,748,723,2,18,0,26.63,208
C0000065,31DEC2023,775,783,1,5,0,68.37,20
C0000066,31OCT2023,616,614,1,20,0,25.66,223
C0000066,31DEC2023,610,618,0,17,0,73.25,215
C0000067,31OCT2023,810,790,0,18,0,8.41,356
C0000067,31DEC2023,839,831,3,5,0,49.83,139
C0000068,31OCT2023,550,554,2,21,1,74.39,397
C0000068,31DEC2023,545,567,0,20,0,9.05,91
C0000069,31OCT2023,597,618,1,22,0,4.11,51
C0000069,31DEC2023,599,609,5,4,0,24.95,151
C0000070,31OCT2023,822,843,8,20,1,36.15,111
C0000070,31DEC2023,839,842,0,18,0,92.52,260
C0000071,31OCT2023,781,771,0,12,0,9.18,383
C0000071,31DEC2023,751,776,3,2,2,51.56,393
C0000072,31OCT2023,699,686,3,2,0,96.03,402
C0000072,31DEC2023,686,703,2,12,1,83.89,32
C0000073,31OCT2023,719,737,1,2,2,52.59,216
C0000073,31DEC2023,732,752,2,3,1,19.76,350
C0000074,31OCT2023,752,752,0,5,0,8.85,400
C0000074,31DEC2023,752,753,8,21,0,23.51,122
C0000075,31OCT2023,763,761,0,23,0,88.32,139
C0000075,31DEC2023,747,744,0,22,0,79.36,409
C0000076,31OCT2023,650,625,0,7,0,74.69,227
C0000076,31DEC2023,668,658,0,16,0,46.15,281
C0000077,31OCT2023,827,825,2,19,4,76.22,265
C0000077,31DEC2023,839,850,1,12,0,76.57,120
C0000078,31OCT2023,675,653,1,17,0,28.60,304
C0000078,31DEC2023,681,676,1,5,0,26.18,104
C0000079,31OCT2023,602,611,2,1,1,52.62,386
C0000079,31DEC2023,584,598,0,17,0,79.86,353
C0000080,31OCT2023,709,703,0,21,0,76.81,255
C0000080,31DEC2023,728,751,1,14,0,16.45,49
C0000081,31OCT2023,597,589,1,22,4,2.88,296
C0000081,31DEC2023,594,573,2,9,0,94.02,160
C0000082,31OCT2023,609,626,5,9,0,93.10,276
C0000082,31DEC2023,613,612,1,15,0,43.41,366
C0000083,31OCT2023,657,644,0,15,0,95.86,160
C0000083,31DEC2023,671,687,5,6,0,37.78,116
C0000084,31OCT2023,581,570,2,9,1,49.76,27
C0000084,31DEC2023,563,566,3,14,0,78.75,218
C0000085,31OCT2023,757,752,1,12,0,19.44,15
C0000085,31DEC2023,749,756,1,23,0,28.17,264
C0000086,31OCT2023,628,610,2,1,0,38.72,273
C0000086,31DEC2023,646,655,0,24,2,74.90,332
C0000087,31OCT2023,592,580,1,23,0,89.32,16
C0000087,31DEC2023,614,593,1,7,0,94.52,15
C0000088,31OCT2023,731,754,5,12,0,31.16,372
C0000088,31DEC2023,719,694,1,15,1,59.97,220
C0000089,31OCT2023,629,650,1,22,2,15.02,370
C0000089,31DEC2023,624,624,1,7,0,35.55,50
C0000090,31OCT2023,626,631,0,16,1,82.86,395
C0000090,31DEC2023,624,646,3,24,0,79.11,234
C0000091,31OCT2023,704,725,0,17,1,83.28,123
C0000091,31DEC2023,691,681,0,24,0,18.92,145
C0000092,31OCT2023,583,559,0,13,0,46.65,416
C0000092,31DEC2023,553,540,1,19,0,60.05,296
C0000093,31OCT2023,790,780,1,22,1,14.35,161
C0000093,31DEC2023,794,776,1,17,1,28.81,268
C0000094,31OCT2023,705,712,5,11,0,3.18,244
C0000094,31DEC2023,704,719,3,8,0,31.90,276
C0000095,31OCT2023,605,612,0,10,0,59.74,118
C0000095,31DEC2023,632,623,0,5,0,73.21,181
C0000096,31OCT2023,676,651,3,1,0,72.21,73
C0000096,31DEC2023,667,684,1,17,0,24.26,109
C0000097,31OCT2023,758,750,0,12,0,14.06,155
C0000097,31DEC2023,762,739,5,16,0,60.90,404
C0000098,31OCT2023,788,780,0,15,2,28.47,163
C0000098,31DEC2023,800,813,1,10,0,27.90,214
C0000099,31OCT2023,550,559,1,19,1,28.80,215
C0000099,31DEC2023,560,549,1,24,0,65.89,79
C0000100,31OCT2023,515,505,0,18,0,71.73,322
C0000100,31DEC2023,535,528,0,24,1,12.98,232
C0000101,31OCT2023,616,599,1,14,0,12.23,214
C0000101,31DEC2023,628,651,5,5,0,30.82,172
C0000102,31OCT2023,617,641,3,12,0,50.25,290
C0000102,31DEC2023,626,606,0,18,1,71.36,76
C0000103,31OCT2023,634,619,0,23,1,75.86,183
C0000103,31DEC2023,624,639,5,13,1,54.92,310
C0000104,31OCT2023,577,594,2,4,0,21.26,163
C0000104,31DEC2023,579,577,5,24,0,27.89,236
C0000105,31OCT2023,584,584,0,10,0,24.77,281
C0000105,31DEC2023,607,600,3,20,1,56.51,399
C0000106,31OCT2023,605,593,5,3,1,58.85,61
C0000106,31DEC2023,618,636,3,13,1,8.92,301
C0000107,31OCT2023,772,768,0,8,0,62.20,161
C0000107,31DEC2023,775,751,0,20,0,49.63,311
C0000108,31OCT2023,588,592,0,1,0,81.76,139
C0000108,31DEC2023,595,575,0,17,0,53.24,113
C0000109,31OCT2023,579,561,0,14,0,57.21,169
C0000109,31DEC2023,596,592,2,15,2,79.48,185
C0000110,31OCT2023,673,681,0,12,0,45.11,109
C0000110,31DEC2023,661,659,0,14,0,82.97,105
C0000111,31OCT2023,572,593,5,2,0,75.36,56
C0000111,31DEC2023,570,574,0,9,0,10.96,64
C0000112,31OCT2023,514,534,3,16,1,58.20,21
C0000112,31DEC2023,544,524,0,2,0,8.86,267
C0000113,31OCT2023,765,743,1,21,0,38.02,348
C0000113,31DEC2023,750,731,0,18,0,57.46,41
C0000114,31OCT2023,533,516,0,9,2,50.16,138
C0000114,31DEC2023,518,496,1,7,0,84.94,251
C0000115,31OCT2023,622,623,1,10,0,71.06,274
C0000115,31DEC2023,611,609,0,10,0,69.73,193
C0000116,31OCT2023,634,620,0,13,2,49.55,183
C0000116,31DEC2023,623,620,1,10,0,95.11,406
C0000117,31OCT2023,663,660,0,9,0,12.66,51
C0000117,31DEC2023,650,630,2,11,0,81.72,369
C0000118,31OCT2023,601,582,5,15,1,50.66,221
C0000118,31DEC2023,570,560,3,4,2,47.36,105
C0000119,31OCT2023,809,816,8,14,2,13.35,362
C0000119,31DEC2023,811,835,5,15,0,86.27,52
C0000120,31OCT2023,739,732,0,17,0,89.50,92
C0000120,31DEC2023,749,733,3,16,2,71.19,124
C0000121,31OCT2023,796,785,0,9,1,35.15,361
C0000121,31DEC2023,798,781,0,11,0,22.70,118
C0000122,31OCT2023,651,635,2,17,1,76.06,103
C0000122,31DEC2023,648,633,2,1,2,15.14,245
C0000123,31OCT2023,619,594,3,14,0,61.05,41
C0000123,31DEC2023,636,647,8,19,4,34.48,384
C0000124,31OCT2023,642,621,1,7,0,58.47,170
C0000124,31DEC2023,620,630,0,8,0,65.91,76
C0000125,31OCT2023,649,665,1,9,0,7.20,53
C0000125,31DEC2023,645,661,0,24,0,70.75,199
C0000126,31OCT2023,720,706,0,4,0,76.71,338
C0000126,31DEC2023,747,736,5,17,0,71.28,36
C0000127,31OCT2023,714,717,0,3,0,35.71,220
C0000127,31DEC2023,727,702,0,4,0,50.80,243
C0000128,31OCT2023,613,634,0,10,0,28.02,13
C0000128,31DEC2023,614,633,0,5,0,86.85,70
C0000129,31OCT2023,807,807,1,5,2,97.51,338
C0000129,31DEC2023,807,783,8,16,0,93.42,279
C0000130,31OCT2023,619,620,0,21,0,75.61,383
C0000130,31DEC2023,625,618,0,12,0,13.10,120
C0000131,31OCT2023,758,753,0,19,1,69.99,64
C0000131,31DEC2023,770,776,1,11,0,95.37,404
C0000132,31OCT2023,692,695,1,10,1,93.28,373
C0000132,31DEC2023,685,706,1,13,0,87.27,113
C0000133,31OCT2023,748,723,0,21,0,35.22,331
C0000133,31DEC2023,746,747,1,16,0,52.29,419
C0000134,31OCT2023,608,584,0,19,1,46.77,189
C0000134,31DEC2023,600,595,2,1,0,21.54,84
C0000135,31OCT2023,609,597,1,16,0,72.63,313
C0000135,31DEC2023,608,596,0,17,1,47.77,166
C0000136,31OCT2023,755,774,0,3,0,95.70,232
C0000136,31DEC2023,743,728,0,21,0,55.23,384
C0000137,31OCT2023,612,610,5,13,0,29.45,334
C0000137,31DEC2023,598,618,0,2,0,70.70,314
C0000138,31OCT2023,606,631,1,20,0,47.75,74
C0000138,31DEC2023,623,646,0,9,0,65.43,330
C0000139,31OCT2023,709,690,0,13,2,81.97,374
C0000139,31DEC2023,704,724,2,21,1,53.23,125
C0000140,31OCT2023,825,830,0,9,0,93.61,128
C0000140,31DEC2023,821,832,2,6,0,15.25,118
C0000141,31OCT2023,588,570,0,4,0,63.43,109
C0000141,31DEC2023,587,605,2,11,4,7.25,239
C0000142,31OCT2023,708,718,0,8,0,58.74,62
C0000142,31DEC2023,730,714,1,14,0,45.92,283
C0000143,31OCT2023,791,788,1,8,4,79.32,203
C0000143,31DEC2023,802,778,3,9,0,28.41,135
C0000144,31OCT2023,603,616,1,2,0,8.26,263
C0000144,31DEC2023,603,592,8,24,0,87.75,219
C0000145,31OCT2023,682,699,1,15,1,56.88,155
C0000145,31DEC2023,702,706,0,9,2,72.74,390
C0000146,31OCT2023,795,797,0,16,0,96.07,94
C0000146,31DEC2023,780,762,1,10,0,73.39,277
C0000147,31OCT2023,694,717,3,2,0,17.19,290
C0000147,31DEC2023,702,708,1,17,0,64.07,56
C0000148,31OCT2023,560,568,0,24,0,54.91,256
C0000148,31DEC2023,558,546,3,2,0,58.36,402
C0000149,31OCT2023,723,747,3,20,0,55.04,405
C0000149,31DEC2023,730,709,0,19,0,91.55,222
C0000150,31OCT2023,650,653,0,4,4,79.34,211
C0000150,31DEC2023,671,690,1,15,0,87.55,63
C0000151,31OCT2023,739,746,2,24,1,93.11,354
C0000151,31DEC2023,730,735,1,6,2,61.14,205
C0000152,31OCT2023,563,582,0,20,1,21.27,66
C0000152,31DEC2023,563,568,2,24,1,11.15,378
C0000153,31OCT2023,573,549,1,13,0,64.21,261
C0000153,31DEC2023,563,580,0,24,0,94.76,130
C0000154,31OCT2023,545,549,2,8,0,95.05,14
C0000154,31DEC2023,552,555,3,17,0,40.08,249
C0000155,31OCT2023,793,801,3,14,0,32.85,13
C0000155,31DEC2023,782,785,1,14,0,55.03,11
C0000156,31OCT2023,567,544,0,7,0,31.40,79
C0000156,31DEC2023,585,565,0,3,0,28.25,326
C0000157,31OCT2023,769,744,1,15,2,2.13,167
C0000157,31DEC2023,767,788,2,8,0,14.15,271
C0000158,31OCT2023,755,761,1,11,0,37.47,216
C0000158,31DEC2023,727,729,0,10,0,88.69,76
C0000159,31OCT2023,790,812,1,24,0,80.96,234
C0000159,31DEC2023,789,801,0,24,0,71.73,154
C0000160,31OCT2023,607,621,8,2,0,90.75,330
C0000160,31DEC2023,606,587,3,17,1,94.22,37
C0000161,31OCT2023,585,577,0,1,0,37.43,110
C0000161,31DEC2023,598,592,1,11,0,27.56,77
C0000162,31OCT2023,632,613,1,17,0,76.94,415
C0000162,31DEC2023,656,676,0,7,0,12.82,249
C0000163,31OCT2023,716,722,0,23,0,82.47,262
C0000163,31DEC2023,748,764,1,8,0,35.73,152
C0000164,31OCT2023,636,629,1,2,0,11.89,294
C0000164,31DEC2023,664,681,1,15,0,45.46,343
C0000165,31OCT2023,583,568,0,2,0,40.97,211
C0000165,31DEC2023,566,554,1,2,2,22.27,245
C0000166,31OCT2023,733,736,0,15,0,91.87,75
C0000166,31DEC2023,721,742,0,12,0,50.27,378
C0000167,31OCT2023,781,796,0,7,4,37.39,284
C0000167,31DEC2023,812,811,1,8,0,78.28,400
C0000168,31OCT2023,552,549,0,10,0,61.65,214
C0000168,31DEC2023,554,575,5,10,0,45.32,150
C0000169,31OCT2023,624,639,0,3,0,88.12,160
C0000169,31DEC2023,607,628,1,17,0,13.44,320
C0000170,31OCT2023,655,672,1,13,4,67.06,93
C0000170,31DEC2023,675,672,0,14,1,76.62,90
C0000171,31OCT2023,806,814,1,16,0,69.30,177
C0000171,31DEC2023,801,789,1,12,0,30.27,47
C0000172,31OCT2023,805,793,0,13,1,16.63,214
C0000172,31DEC2023,795,816,2,6,1,28.32,356
C0000173,31OCT2023,793,784,1,13,0,53.06,300
C0000173,31DEC2023,780,780,1,2,0,2.12,395
C0000174,31OCT2023,532,544,0,13,0,27.90,400
C0000174,31DEC2023,549,542,0,18,0,39.11,294
C0000175,31OCT2023,546,565,3,13,0,3.19,258
C0000175,31DEC2023,554,552,1,15,0,42.66,257
C0000176,31OCT2023,560,560,0,19,0,66.76,18
C0000176,31DEC2023,576,575,2,8,0,8.78,210
C0000177,31OCT2023,588,591,0,17,0,48.76,251
C0000177,31DEC2023,579,594,8,9,0,60.94,267
C0000178,31OCT2023,662,646,2,6,0,43.80,263
C0000178,31DEC2023,684,682,0,6,0,18.47,108
C0000179,31OCT2023,792,817,0,4,1,69.07,32
C0000179,31DEC2023,787,794,2,23,0,77.80,270
C0000180,31OCT2023,649,642,1,3,0,49.50,262
C0000180,31DEC2023,666,654,1,3,0,82.74,213
C0000181,31OCT2023,634,626,1,8,0,65.78,142
C0000181,31DEC2023,633,638,5,21,0,8.40,270
C0000182,31OCT2023,632,644,0,21,2,9.08,319
C0000182,31DEC2023,620,611,1,24,0,93.94,346
C0000183,31OCT2023,603,619,0,5,0,26.15,152
C0000183,31DEC2023,593,592,1,6,0,87.12,311
C0000184,31OCT2023,786,792,2,13,0,70.66,59
C0000184,31DEC2023,807,799,1,5,2,7.77,321
C0000185,31OCT2023,778,766,3,12,1,86.42,106
C0000185,31DEC2023,794,775,1,1,0,37.36,301
C0000186,31OCT2023,575,574,0,17,0,72.99,286
C0000186,31DEC2023,557,558,8,14,0,37.68,120
C0000187,31OCT2023,714,707,1,10,0,32.11,361
C0000187,31DEC2023,722,697,1,20,0,69.66,15
C0000188,31OCT2023,634,645,0,10,2,95.75,341
C0000188,31DEC2023,665,651,0,19,0,18.55,209
C0000189,31OCT2023,596,572,2,14,0,24.86,287
C0000189,31DEC2023,568,547,5,11,0,24.05,255
C0000190,31OCT2023,776,782,2,22,0,71.35,306
C0000190,31DEC2023,795,785,5,17,0,76.92,212
C0000191,31OCT2023,736,732,1,22,0,89.00,116
C0000191,31DEC2023,745,746,1,11,1,33.91,285
C0000192,31OCT2023,593,611,1,15,0,97.18,222
C0000192,31DEC2023,603,591,0,9,0,43.83,232
C0000193,31OCT2023,699,692,3,3,1,15.25,308
C0000193,31DEC2023,675,685,8,22,0,65.78,288
C0000194,31OCT2023,760,763,2,20,0,29.01,9
C0000194,31DEC2023,750,751,0,16,2,24.46,200
C0000195,31OCT2023,549,558,1,17,0,2.52,31
C0000195,31DEC2023,531,541,0,11,2,80.88,302
C0000196,31OCT2023,630,627,5,8,0,2.80,6
C0000196,31DEC2023,629,630,0,16,0,33.83,184
C0000197,31OCT2023,608,610,1,5,2,46.05,249
C0000197,31DEC2023,614,595,0,13,2,31.85,395
C0000198,31OCT2023,781,798,0,7,0,40.35,124
C0000198,31DEC2023,805,797,2,16,0,32.85,117
C0000199,31OCT2023,554,552,1,2,1,43.70,110
C0000199,31DEC2023,566,570,0,10,0,76.49,288
C0000200,31OCT2023,542,525,0,24,0,74.51,153
C0000200,31DEC2023,555,580,5,23,0,69.72,21
C0000201,31OCT2023,589,614,1,19,0,28.81,373
C0000201,31DEC2023,588,594,5,24,0,93.20,119
C0000202,31OCT2023,517,527,8,4,2,32.19,354
C0000202,31DEC2023,524,520,0,21,0,14.84,272
C0000203,31OCT2023,523,504,0,21,0,66.16,25
C0000203,31DEC2023,517,501,0,8,0,26.01,43
C0000204,31OCT2023,569,551,0,4,0,53.12,77
C0000204,31DEC2023,565,581,1,8,0,68.52,31
C0000205,31OCT2023,568,567,0,21,0,93.38,360
C0000205,31DEC2023,568,583,1,5,2,75.83,283
C0000206,31OCT2023,809,810,1,23,0,37.20,80
C0000206,31DEC2023,820,816,1,18,0,48.16,191
C0000207,31OCT2023,581,563,1,5,0,52.14,413
C0000207,31DEC2023,576,595,0,23,0,18.56,340
C0000208,31OCT2023,657,643,0,7,2,5.08,150
C0000208,31DEC2023,683,706,1,19,0,24.10,178
C0000209,31OCT2023,544,524,1,21,0,14.73,418
C0000209,31DEC2023,544,566,1,6,0,55.25,26
C0000210,31OCT2023,580,582,0,24,0,88.31,312
C0000210,31DEC2023,585,560,0,9,0,71.31,165
C0000211,31OCT2023,814,798,0,10,0,30.54,42
C0000211,31DEC2023,807,807,0,21,0,70.07,298
C0000212,31OCT2023,522,521,1,13,0,55.45,153
C0000212,31DEC2023,539,533,0,5,0,7.87,114
C0000213,31OCT2023,718,725,0,20,0,96.81,183
C0000213,31DEC2023,733,744,1,20,0,64.18,52
C0000214,31OCT2023,738,714,3,15,1,5.58,193
C0000214,31DEC2023,736,742,1,3,0,37.80,329
C0000215,31OCT2023,578,588,1,17,0,21.18,30
C0000215,31DEC2023,581,575,0,12,2,20.10,120
C0000216,31OCT2023,781,791,0,22,0,12.53,220
C0000216,31DEC2023,794,799,0,11,2,9.39,235
C0000217,31OCT2023,720,729,1,18,0,56.87,167
C0000217,31DEC2023,712,725,2,8,1,73.08,388
C0000218,31OCT2023,639,620,3,23,0,13.69,274
C0000218,31DEC2023,631,635,3,1,0,3.20,129
C0000219,31OCT2023,775,761,1,13,2,90.97,250
C0000219,31DEC2023,784,801,2,18,0,12.79,299
C0000220,31OCT2023,617,600,0,12,0,20.82,368
C0000220,31DEC2023,625,647,0,6,1,7.37,348
C0000221,31OCT2023,803,802,0,19,0,45.38,22
C0000221,31DEC2023,791,767,1,5,0,32.31,116
C0000222,31OCT2023,769,749,1,7,1,97.88,66
C0000222,31DEC2023,753,736,1,1,2,85.07,163
C0000223,31OCT2023,606,603,5,22,0,97.36,142
C0000223,31DEC2023,601,580,0,23,0,3.55,62
C0000224,31OCT2023,549,545,5,19,0,38.77,291
C0000224,31DEC2023,574,575,0,7,0,5.14,364
C0000225,31OCT2023,678,699,1,7,0,14.44,410
C0000225,31DEC2023,687,707,0,5,0,51.15,417
C0000226,31OCT2023,546,526,3,10,0,59.62,278
C0000226,31DEC2023,529,551,2,20,1,93.82,128
C0000227,31OCT2023,617,626,8,24,0,84.96,66
C0000227,31DEC2023,589,606,1,11,0,76.53,81
C0000228,31OCT2023,582,591,3,8,0,49.32,245
C0000228,31DEC2023,574,596,8,9,0,82.84,339
C0000229,31OCT2023,748,730,5,14,2,83.69,181
C0000229,31DEC2023,746,738,5,23,0,77.59,243
C0000230,31OCT2023,577,602,3,14,0,45.51,205
C0000230,31DEC2023,549,539,1,24,0,6.01,16
C0000231,31OCT2023,619,599,0,3,0,81.19,53
C0000231,31DEC2023,625,608,0,4,0,60.06,109
C0000232,31OCT2023,579,598,3,1,0,85.80,396
C0000232,31DEC2023,603,600,5,2,0,35.81,399
C0000233,31OCT2023,584,584,5,20,0,57.10,334
C0000233,31DEC2023,597,607,0,9,0,75.73,141
C0000234,31OCT2023,692,682,3,16,0,46.58,255
C0000234,31DEC2023,705,727,0,7,0,81.51,85
C0000235,31OCT2023,533,522,0,20,0,9.68,195
C0000235,31DEC2023,544,525,2,8,0,33.16,168
C0000236,31OCT2023,581,590,2,6,2,22.02,206
C0000236,31DEC2023,611,597,3,14,0,58.42,205
C0000237,31OCT2023,548,570,0,1,1,79.50,156
C0000237,31DEC2023,545,564,0,1,2,39.42,375
C0000238,31OCT2023,838,823,1,4,0,63.43,383
C0000238,31DEC2023,836,820,0,21,0,36.85,160
C0000239,31OCT2023,682,670,0,12,0,47.48,227
C0000239,31DEC2023,712,736,3,21,0,75.43,296
C0000240,31OCT2023,791,816,1,23,0,26.30,267
C0000240,31DEC2023,803,826,0,2,0,63.38,160
C0000241,31OCT2023,640,643,5,16,4,46.31,7
C0000241,31DEC2023,652,648,2,20,0,56.47,104
C0000242,31OCT2023,584,593,8,4,0,66.68,291
C0000242,31DEC2023,572,550,0,23,0,73.76,228
C0000243,31OCT2023,728,718,0,20,0,35.69,321
