ACCOUNT_ID,COLLATERAL_VALUE,LAST_APPRAISAL_DATE
A00000004,592503.16,26DEC2023
A00000005,87289.34,03NOV2021
A00000010,777378.69,23OCT2023
A00000012,19994.88,06APR2020
A00000019,27569.41,08DEC2021
A00000023,128497.79,03JAN2023
A00000026,878657.25,19JAN2023
A00000028,121118.94,02APR2023
A00000033,43745.92,31JAN2022
A00000035,27768.09,23FEB2021
A00000036,790389.44,27JUL2022
A00000041,68498.41,01APR2020
A00000047,196591.45,01FEB2023
A00000049,1503492.22,30MAY2023
A00000052,54726.41,30JUL2020
A00000053,512718.48,11SEP2021
A00000056,34121.31,04JAN2022
A00000059,78912.50,25JAN2023
A00000063,684051.43,03NOV2021
A00000066,1287968.34,28AUG2023
A00000067,40970.68,14DEC2022
A00000071,78111.61,30JUL2022
A00000072,452806.57,25MAR2021
A00000076,129587.55,12MAR2020
A00000078,499863.14,12MAR2020
A00000084,31541.10,03DEC2023
A00000085,236649.45,07DEC2022
A00000089,8079.43,03SEP2022
A00000092,39513.18,08OCT2022
A00000103,8070.25,22MAY2023
A00000105,49668.54,14NOV2021
A00000109,114944.17,06JAN2022
A00000124,24839.16,23JAN2023
A00000126,4421.44,19DEC2021
A00000129,552070.62,07JUL2021
A00000130,766006.65,21OCT2021
A00000139,723042.44,29DEC2021
A00000151,435737.22,09FEB2021
A00000156,63808.18,31JUL2022
A00000169,195270.85,28JAN2023
A00000171,6960.38,02OCT2020
A00000172,27945.36,16DEC2023
A00000173,622336.64,17OCT2020
A00000174,1609683.84,09JUL2022
A00000178,21565.61,21SEP2022
A00000179,375451.00,22JUL2023
A00000181,753697.23,16JUL2022
A00000186,850582.45,11AUG2021
A00000187,1380227.16,30MAR2023
A00000188,1017083.74,26AUG2020
A00000190,772354.61,01MAR2022
A00000192,33035.71,01JAN2020
A00000197,162701.13,23DEC2021
A00000199,447529.08,02JAN2023
A00000201,156998.96,17JUN2021
A00000204,109650.78,16FEB2021
A00000217,45680.79,12MAR2021
A00000219,170407.02,29DEC2019
A00000230,209968.34,11MAR2021
A00000239,320115.32,27JUN2023
A00000246,81027.09,21DEC2020
A00000251,187138.92,08AUG2020
A00000252,55120.06,31DEC2022
A00000254,826138.26,23JUL2022
A00000257,44741.95,01JUL2020
A00000260,752934.23,22AUG2022
A00000265,757151.02,09MAY2021
A00000267,1876179.31,06JUN2021
A00000272,961288.55,01JUN2021
A00000273,41202.15,23APR2023
A00000276,96097.76,14MAY2023
A00000277,44972.78,28DEC2023
A00000287,497670.29,02APR2023
A00000288,46529.74,03APR2022
A00000306,1056216.76,30NOV2021
A00000310,657219.18,19NOV2023
A00000312,47560.09,28FEB2021
A00000314,61304.31,20FEB2022
A00000315,389772.93,10JUN2022
A00000323,14653.75,29OCT2021
A00000325,986160.28,15FEB2020
A00000326,349117.94,05OCT2022
A00000335,824680.18,29MAY2021
A00000337,241085.23,23SEP2020
A00000341,448356.61,27FEB2023
A00000344,587471.86,11JUN2023
A00000346,601683.97,19FEB2021
A00000349,59858.74,12APR2020
A00000350,104053.22,07SEP2022
A00000351,504272.12,14OCT2022
A00000362,174300.37,18APR2023
A00000364,5975.59,20OCT2021
A00000375,1063533.70,19MAY2020
A00000378,668817.19,17JUN2020
A00000386,48585.65,24JUL2020
A00000387,372975.13,29MAY2023
A00000392,697920.95,20MAR2020
A00000395,488047.46,22OCT2021
A00000399,837149.63,03APR2021
A00000400,304901.51,03JUN2022
A00000406,52734.07,30NOV2020
A00000438,1118414.89,08DEC2022
A00000439,54107.08,01JUL2021
A00000441,63682.78,17FEB2021
A00000443,79328.96,31DEC2021
A00000445,343799.82,04OCT2021
A00000447,74150.32,03SEP2023
A00000448,938607.17,08MAY2020
A00000450,2403406.56,21DEC2021
A00000476,164475.01,31DEC2021
A00000480,672242.64,09APR2021
A00000481,13525.50,10JUL2021
A00000482,25476.99,12SEP2021
A00000483,519314.75,08MAR2023
