ACCOUNT_ID,CUSTOMER_ID,ACCOUNT_TYPE,ACCOUNT_STATUS,OPEN_DATE,CLOSE_DATE,CURRENT_BALANCE,AVAILABLE_BALANCE,CREDIT_LIMIT,INTEREST_RATE,BRANCH_ID,OFFICER_ID,LAST_ACTIVITY_DATE
A00000001,C0000001,CC,A,27NOV2011,,880.19,619.81,1500.00,0.2009,B015,O0088,03NOV2023
A00000002,C0000002,CD,A,28AUG2009,,125956.45,125923.90,0.00,0.047,B024,O0039,27JAN2024
A00000003,C0000002,SAV,D,16APR2011,,715.69,508.06,0.00,0.0293,B019,O0057,29JAN2024
A00000004,C0000003,MTG,A,08SEP2016,,360901.23,360731.45,0.00,0.0625,B032,O0107,29JAN2024
A00000005,C0000003,HELC,A,24FEB2011,,55331.94,194668.06,250000.00,0.1,B035,O0042,18NOV2023
A00000006,C0000004,CHK,C,06JUN2022,07JAN2024,3104.42,3045.51,0.00,0.0011,B039,O0061,24JAN2024
A00000007,C0000004,CHK,A,01DEC2012,,15972.62,15736.25,0.00,0.0009,B001,O0019,25NOV2023
A00000008,C0000005,CC,A,09MAY2011,,807.31,692.69,1500.00,0.2481,B033,O0042,13JUN2023
A00000009,C0000005,CHK,A,21SEP2007,,12997.97,12938.00,0.00,0.0011,B017,O0074,18JAN2024
A00000010,C0000005,MTG,A,30JUN2017,,518416.04,518306.90,0.00,0.0733,B028,O0081,29MAR2023
A00000011,C0000006,CC,A,17JUN2012,,2422.58,577.42,3000.00,0.2329,B046,O0070,24MAY2023
A00000012,C0000007,AUTO,S,14OCT2015,,7930.09,7842.66,0.00,0.0791,B015,O0004,18JAN2024
A00000013,C0000008,CHK,A,28APR2013,,3558.15,3479.04,0.00,0.0011,B048,O0098,22JAN2024
A00000014,C0000009,CC,S,24NOV2018,,1709.08,3290.92,5000.00,0.2175,B014,O0031,02DEC2023
A00000015,C0000010,IRA,A,28DEC2022,,21945.01,21765.25,0.00,0.0445,B038,O0033,20JAN2024
A00000016,C0000011,CD,A,25FEB2014,,15204.96,15110.58,0.00,0.0469,B032,O0070,21JAN2024
A00000017,C0000012,MMA,A,26APR2013,,31767.72,31613.65,0.00,0.037,B016,O0102,21JAN2024
A00000018,C0000012,CHK,A,13APR2023,,2366.27,2355.69,0.00,0.001,B028,O0001,18JAN2024
A00000019,C0000012,AUTO,A,23JAN2021,,20812.27,20756.07,0.00,0.0889,B009,O0059,19MAR2023
A00000020,C0000013,SAV,A,07FEB2009,,557.47,460.33,0.00,0.0359,B039,O0110,23JAN2024
A00000021,C0000013,PERS,A,03MAY2015,,2068.19,1854.76,0.00,0.1295,B044,O0004,25JAN2024
A00000022,C0000014,CD,A,22APR2017,,18142.28,18096.04,0.00,0.0531,B019,O0092,23JAN2024
A00000023,C0000014,MTG,A,29OCT2008,,127409.93,127394.46,0.00,0.0586,B006,O0120,18JAN2024
A00000024,C0000015,CC,D,29NOV2015,,2651.40,4848.60,7500.00,0.2409,B024,O0032,29JAN2024
A00000025,C0000015,IRA,A,10JAN2011,,11042.98,10936.77,0.00,0.048,B014,O0056,27DEC2023
