ACCOUNT_ID,LOAN_PURPOSE,ORIG_AMOUNT,ORIG_DATE,TERM_MONTHS,LTV,DAYS_PAST_DUE,PAST_DUE_AMOUNT,ALLOWANCE_AMT
A00000001,MEDIC,1659.66,27NOV2011,24,,0,0.00,4.83
A00000004,PURCH,595855.68,08SEP2016,48,0.6091,0,0.00,6795.92
A00000005,EDUC,93813.19,24FEB2011,84,0.6339,0,0.00,609.26
A00000008,EDUC,1219.03,09MAY2011,120,,0,0.00,14.67
A00000010,EDUC,907766.71,30JUN2017,84,0.6669,9,16254.31,10114.14
A00000011,EDUC,4044.40,17JUN2012,60,,0,0.00,20.34
A00000012,CASHOUT,10333.51,14OCT2015,240,0.3966,0,0.00,99.40
A00000014,CONSOL,2871.89,24NOV2018,360,,0,0.00,14.76
A00000019,CONSOL,27469.88,23JAN2021,60,0.7549,0,0.00,284.04
A00000021,CONST,3876.79,03MAY2015,24,,73,158.60,172.85
A00000023,CONSOL,197601.65,29OCT2008,360,0.9915,36,8911.01,18055.87
A00000024,EDUC,4324.39,29NOV2015,60,,0,0.00,33.47
A00000026,RENO,1208546.16,02JUL2013,84,0.8964,0,0.00,3925.27
A00000028,CONST,87962.01,31MAY2020,180,0.4484,0,0.00,621.97
A00000033,REFI,74385.64,16APR2015,240,0.9259,0,0.00,580.08
A00000035,MEDIC,55667.30,10JAN2016,60,1.2007,0,0.00,534.93
A00000036,PURCH,485977.24,04APR2021,180,0.3911,0,0.00,4284.98
A00000041,MEDIC,56223.79,20DEC2014,12,0.6910,0,0.00,940.86
A00000042,EDUC,5980.33,21OCT2010,60,,0,0.00,74.11
A00000045,CONSOL,79295.91,31JAN2011,84,,0,0.00,1157.90
A00000047,REFI,163166.20,16DEC2018,36,0.6720,0,0.00,1578.03
A00000049,CONST,776097.24,07MAY2019,36,0.3610,46,34738.77,66980.78
A00000050,CONST,8669.82,31MAR2007,60,,37,393.51,670.20
A00000052,RENO,62201.55,11SEP2019,60,0.6007,49,805.22,5647.45
A00000053,EDUC,627348.64,30JUL2011,120,0.9602,0,0.00,4546.45
A00000054,REFI,4150.63,21APR2018,24,,0,0.00,37.56
A00000055,MEDIC,10149.99,07JAN2017,48,,0,0.00,88.35
A00000056,MEDIC,41493.44,25APR2020,180,0.8945,0,0.00,244.60
A00000057,RENO,8752.13,19JUN2017,120,,33,186.94,1162.90
A00000058,PURCH,7711.65,19AUG2009,36,,0,0.00,62.11
A00000059,CONST,58820.49,10APR2021,24,0.5193,0,0.00,282.02
A00000061,CASHOUT,2346.36,29AUG2017,12,,0,0.00,35.17
A00000063,MEDIC,668470.16,14FEB2020,48,0.7343,0,0.00,8428.02
A00000066,MEDIC,940211.36,09JUN2010,360,0.6197,0,0.00,8598.74
A00000067,PURCH,72177.91,23JAN2010,36,0.9951,0,0.00,331.63
A00000070,PURCH,6890.22,25JUL2020,24,,0,0.00,30.63
A00000071,RENO,40384.75,08SEP2012,84,0.3842,17,1694.12,176.70
A00000072,RENO,477308.74,12MAR2008,48,0.8678,0,0.00,5062.67
A00000076,RENO,58173.24,15SEP2019,24,0.3412,0,0.00,785.11
A00000078,EDUC,471392.02,05SEP2020,12,0.6625,0,0.00,1631.94
A00000079,EDUC,2844.29,27JUN2018,180,,0,0.00,28.29
A00000084,REFI,38983.22,16SEP2018,48,0.9188,0,0.00,165.33
A00000085,MEDIC,255306.55,27JUN2018,360,0.5729,0,0.00,1166.25
A00000088,CASHOUT,11820.40,03JAN2010,120,,0,0.00,183.36
A00000089,MEDIC,11616.99,14JAN2012,84,0.7673,67,492.97,1122.49
A00000091,REFI,39500.76,20MAR2020,36,,0,0.00,179.95
A00000092,CONST,47714.99,04DEC2019,36,0.7219,0,0.00,160.85
A00000095,CONSOL,2815.12,04MAR2018,24,,0,0.00,27.27
A00000097,CASHOUT,19943.36,18APR2007,180,,0,0.00,146.34
A00000099,REFI,1331.99,03DEC2015,48,,293,47.36,451.32
A00000100,CASHOUT,35643.84,19AUG2010,120,,37,1595.95,2878.93
A00000103,RENO,12946.85,26APR2013,120,0.9125,0,0.00,116.16
A00000104,CONST,3539.83,21JUL2014,60,,0,0.00,21.83
A00000105,EDUC,33896.97,01JAN2011,24,0.5805,28,1840.66,138.08
A00000108,CONSOL,7659.12,07JAN2016,36,,0,0.00,52.10
A00000109,RENO,54867.23,01JUN2007,84,0.4066,0,0.00,456.45
A00000110,REFI,8478.22,06JUN2016,48,,0,0.00,51.89
A00000111,PURCH,12849.66,04OCT2020,120,,0,0.00,109.77
A00000112,CONST,856.03,27MAR2023,24,,87,35.45,39.70
A00000116,PURCH,5634.08,20OCT2013,84,,0,0.00,46.01
A00000121,MEDIC,4396.67,26JUN2018,24,,0,0.00,21.42
A00000122,REFI,13510.72,27MAY2020,360,,0,0.00,72.75
A00000123,RENO,5312.53,19MAR2022,12,,0,0.00,49.33
A00000124,RENO,17893.24,14APR2022,240,0.6825,0,0.00,123.61
A00000126,CONSOL,5260.23,18FEB2010,240,1.0398,0,0.00,49.43
A00000129,EDUC,517640.92,04JUL2016,180,0.7117,295,26024.07,201827.76
A00000130,PURCH,899251.69,18SEP2013,240,0.6426,0,0.00,6743.65
A00000134,MEDIC,7710.92,19JUN2019,24,,0,0.00,45.47
A00000135,CASHOUT,4512.86,02JUL2010,180,,0,0.00,32.67
A00000139,REFI,789182.20,25APR2014,48,1.0020,20,47499.92,10989.62
A00000145,RENO,2911.41,23MAY2014,36,,0,0.00,35.04
A00000150,REFI,16534.58,18APR2010,60,,0,0.00,173.52
A00000151,RENO,436501.63,04MAY2012,120,0.6200,0,0.00,2478.56
A00000156,MEDIC,91174.04,11FEB2020,48,0.8758,0,0.00,394.60
A00000157,CONSOL,55.07,24NOV2018,24,,30,0.79,5.01
A00000163,CONST,13975.33,28MAR2021,180,,11,231.99,46.53
A00000167,CASHOUT,3412.97,26JUL2014,120,,16,229.12,18.20
A00000169,CONSOL,235625.60,28DEC2021,48,0.7959,0,0.00,899.75
A00000171,MEDIC,12324.20,18OCT2018,360,1.1915,0,0.00,94.12
A00000172,EDUC,51195.21,15JUL2019,120,1.1980,0,0.00,528.94
A00000173,CONSOL,494449.87,31DEC2017,180,0.6233,0,0.00,5921.32
A00000174,EDUC,882710.84,03MAY2019,360,0.4691,0,0.00,6545.39
A00000177,PURCH,35881.70,13OCT2009,240,,7,2670.72,171.63
A00000178,MEDIC,14390.94,24JUN2016,180,0.6285,24,611.18,63.35
A00000179,REFI,334594.31,20JUN2008,120,0.5672,0,0.00,1206.46
A00000181,EDUC,617053.59,09JUN2008,60,0.6291,0,0.00,3252.72
