ACCOUNT_ID,PMT_ONTIME_12MO,PMT_LATE_30_12MO,PMT_LATE_60_12MO,PMT_LATE_90_12MO,MAX_DAYS_PAST_DUE_EVER,MONTHS_SINCE_LAST_DPD,AVG_PMT_RATIO_12MO
A00000001,7,5,3,1,91,13,0.6016
A00000004,12,0,0,0,0,,0.9636
A00000005,10,2,0,0,91,34,0.7072
A00000008,9,3,0,0,128,13,0.9542
A00000010,7,5,0,0,185,24,0.2362
A00000011,12,0,0,0,0,,0.8844
A00000012,11,1,0,0,185,7,0.7521
A00000014,12,0,0,0,0,,0.3932
A00000019,11,1,0,0,128,33,0.9240
A00000021,11,1,1,1,31,6,0.7768
A00000023,12,0,0,0,0,,0.7746
A00000024,12,0,0,0,0,,0.6123
A00000026,12,0,0,0,0,,0.5569
A00000028,12,0,0,0,0,,0.3649
A00000033,12,0,0,0,0,,0.4774
A00000035,12,0,0,0,0,,0.5849
A00000036,10,2,0,0,45,9,0.8806
A00000041,12,0,0,0,0,,0.2749
A00000042,11,1,1,0,45,35,0.1083
A00000045,12,0,0,0,0,,0.1569
A00000047,9,3,1,1,128,12,0.9354
A00000049,12,0,0,0,0,,0.3962
A00000050,12,0,0,0,0,,0.4360
A00000052,12,0,0,0,0,,0.2906
A00000053,12,0,0,0,0,,0.7704
A00000054,11,1,0,0,185,33,0.8534
A00000055,12,0,0,0,0,,0.2983
A00000056,11,1,1,1,31,33,0.6713
A00000057,12,0,0,0,0,,0.3274
A00000058,12,0,0,0,0,,0.3972
A00000059,12,0,0,0,0,,0.7852
A00000061,12,0,0,0,0,,0.0695
A00000063,12,0,0,0,0,,0.0785
A00000066,12,0,0,0,0,,0.2633
A00000067,12,0,0,0,0,,0.9892
A00000070,12,0,0,0,0,,0.2900
A00000071,12,0,0,0,0,,0.5342
A00000072,9,3,0,0,128,27,0.7818
A00000076,12,0,0,0,0,,0.1092
A00000078,12,0,0,0,0,,0.4821
A00000079,11,1,1,0,91,29,0.8017
A00000084,11,1,1,0,91,19,0.4279
A00000085,10,2,1,0,31,3,0.3549
A00000088,12,0,0,0,0,,0.1298
A00000089,12,0,0,0,0,,0.7381
A00000091,12,0,0,0,0,,0.0928
A00000092,10,2,1,1,31,34,0.6620
A00000095,12,0,0,0,0,,0.7958
A00000097,7,5,3,2,91,4,0.5853
A00000099,12,0,0,0,0,,0.2306
A00000100,12,0,0,0,0,,0.8164
A00000103,12,0,0,0,0,,0.3427
A00000104,12,0,0,0,0,,0.2615
A00000105,12,0,0,0,0,,0.2699
A00000108,9,3,2,1,31,11,0.3122
A00000109,12,0,0,0,0,,0.9504
A00000110,12,0,0,0,0,,0.9510
A00000111,12,0,0,0,0,,0.5635
A00000112,12,0,0,0,0,,0.2165
A00000116,7,5,2,2,62,8,0.9575
A00000121,11,1,0,0,185,2,0.8988
A00000122,12,0,0,0,0,,0.3122
A00000123,12,0,0,0,0,,0.5021
A00000124,7,5,2,1,45,15,0.4209
A00000126,12,0,0,0,0,,0.9018
A00000129,11,1,1,1,185,26,0.5584
A00000130,12,0,0,0,0,,0.8181
A00000134,12,0,0,0,0,,0.9525
A00000135,7,5,1,0,91,4,0.7227
A00000139,12,0,0,0,0,,0.9911
A00000145,12,0,0,0,0,,0.4087
A00000150,12,0,0,0,0,,0.2205
A00000151,12,0,0,0,0,,0.4753
A00000156,12,0,0,0,0,,0.1252
A00000157,12,0,0,0,0,,0.1717
A00000163,11,1,1,0,45,8,0.6741
A00000167,10,2,0,0,31,12,0.8460
A00000169,12,0,0,0,0,,0.9404
A00000171,12,0,0,0,0,,0.7620
