RATE_DATE,RATE_TYPE,RATE_VALUE
02NOV2023,PRIME,0.085579
02NOV2023,FEDFUNDS,0.052718
02NOV2023,SOFR,0.052784
02NOV2023,LIBOR_3M,0.056039
02NOV2023,MTG_30YR,0.067137
03NOV2023,PRIME,0.084730
03NOV2023,FEDFUNDS,0.053362
03NOV2023,SOFR,0.053631
03NOV2023,LIBOR_3M,0.055745
03NOV2023,MTG_30YR,0.067369
04NOV2023,PRIME,0.084731
04NOV2023,FEDFUNDS,0.053707
04NOV2023,SOFR,0.053350
04NOV2023,LIBOR_3M,0.056248
04NOV2023,MTG_30YR,0.067257
05NOV2023,PRIME,0.085510
05NOV2023,FEDFUNDS,0.053246
05NOV2023,SOFR,0.053240
05NOV2023,LIBOR_3M,0.056214
05NOV2023,MTG_30YR,0.067489
06NOV2023,PRIME,0.084785
06NOV2023,FEDFUNDS,0.053249
06NOV2023,SOFR,0.052863
06NOV2023,LIBOR_3M,0.055414
06NOV2023,MTG_30YR,0.067366
07NOV2023,PRIME,0.084434
07NOV2023,FEDFUNDS,0.053611
07NOV2023,SOFR,0.052992
07NOV2023,LIBOR_3M,0.056073
07NOV2023,MTG_30YR,0.067397
08NOV2023,PRIME,0.085226
08NOV2023,FEDFUNDS,0.053098
08NOV2023,SOFR,0.053082
08NOV2023,LIBOR_3M,0.055964
08NOV2023,MTG_30YR,0.067280
09NOV2023,PRIME,0.085224
09NOV2023,FEDFUNDS,0.053757
09NOV2023,SOFR,0.052775
09NOV2023,LIBOR_3M,0.055828
09NOV2023,MTG_30YR,0.067346
10NOV2023,PRIME,0.085092
10NOV2023,FEDFUNDS,0.052782
10NOV2023,SOFR,0.053138
10NOV2023,LIBOR_3M,0.055515
10NOV2023,MTG_30YR,0.066837
11NOV2023,PRIME,0.084674
11NOV2023,FEDFUNDS,0.052920
11NOV2023,SOFR,0.053341
11NOV2023,LIBOR_3M,0.055775
11NOV2023,MTG_30YR,0.066338
12NOV2023,PRIME,0.085214
12NOV2023,FEDFUNDS,0.053091
12NOV2023,SOFR,0.052733
12NOV2023,LIBOR_3M,0.055560
12NOV2023,MTG_30YR,0.067059
13NOV2023,PRIME,0.084764
13NOV2023,FEDFUNDS,0.052792
13NOV2023,SOFR,0.052669
13NOV2023,LIBOR_3M,0.055786
13NOV2023,MTG_30YR,0.067459
14NOV2023,PRIME,0.084452
14NOV2023,FEDFUNDS,0.053462
14NOV2023,SOFR,0.052704
14NOV2023,LIBOR_3M,0.055482
14NOV2023,MTG_30YR,0.066503
15NOV2023,PRIME,0.085327
15NOV2023,FEDFUNDS,0.053812
15NOV2023,SOFR,0.053110
15NOV2023,LIBOR_3M,0.055700
15NOV2023,MTG_30YR,0.066648
16NOV2023,PRIME,0.085091
16NOV2023,FEDFUNDS,0.052988
16NOV2023,SOFR,0.053499
16NOV2023,LIBOR_3M,0.056373
16NOV2023,MTG_30YR,0.066575
17NOV2023,PRIME,0.084767
17NOV2023,FEDFUNDS,0.053308
17NOV2023,SOFR,0.052522
17NOV2023,LIBOR_3M,0.055670
17NOV2023,MTG_30YR,0.066348
18NOV2023,PRIME,0.084940
18NOV2023,FEDFUNDS,0.053093
18NOV2023,SOFR,0.053180
18NOV2023,LIBOR_3M,0.055448
18NOV2023,MTG_30YR,0.067324
19NOV2023,PRIME,0.085443
19NOV2023,FEDFUNDS,0.053366
19NOV2023,SOFR,0.053142
19NOV2023,LIBOR_3M,0.055338
19NOV2023,MTG_30YR,0.066714
20NOV2023,PRIME,0.084502
20NOV2023,FEDFUNDS,0.053553
20NOV2023,SOFR,0.053421
20NOV2023,LIBOR_3M,0.055434
20NOV2023,MTG_30YR,0.066336
