TRANSACTION_ID,ACCOUNT_ID,TRANSACTION_DATE,TRANSACTION_TYPE,TRANSACTION_AMOUNT,CHANNEL,MERCHANT_CATEGORY,DESCRIPTION,POST_DATE,CURRENCY_CODE
T000000001,A00000004,31JAN2024,REF,1804.93,WIRE,4900,REF MOBILE REF714480,31JAN2024,USD
T000000002,A00000004,31JAN2024,CHG,12.00,WIRE,5912,CHG POS REF624164,31JAN2024,USD
T000000003,A00000004,31JAN2024,CHG,25.00,BRANCH,7011,CHG ACH REF252284,31JAN2024,USD
T000000004,A00000004,31JAN2024,FEE,25.00,MOBILE,5912,FEE ACH REF937507,31JAN2024,USD
T000000005,A00000004,31JAN2024,PMT,1181.39,POS,5912,PMT BRANCH REF912872,31JAN2024,USD
T000000006,A00000004,31JAN2024,CHG,9.95,ACH,5812,CHG ATM REF610525,31JAN2024,USD
T000000007,A00000005,31JAN2024,INT,93.14,BRANCH,5912,INT BRANCH REF805512,31JAN2024,USD
T000000008,A00000005,31JAN2024,FEE,35.00,ONLINE,7011,FEE ONLINE REF590257,31JAN2024,USD
T000000009,A00000005,31JAN2024,FEE,3.00,WIRE,5541,FEE ATM REF114956,31JAN2024,USD
T000000010,A00000005,31JAN2024,PMT,711.05,ACH,5812,PMT ACH REF458111,31JAN2024,USD
T000000011,A00000005,31JAN2024,PMT,626.80,BRANCH,5541,PMT BRANCH REF553524,31JAN2024,USD
T000000012,A00000005,31JAN2024,PMT,688.99,MOBILE,7011,PMT WIRE REF397082,31JAN2024,USD
T000000013,A00000008,31JAN2024,INT,145.90,POS,5812,INT WIRE REF256179,31JAN2024,USD
T000000014,A00000008,31JAN2024,PMT,1629.00,ATM,0000,PMT WIRE REF708145,31JAN2024,USD
T000000015,A00000008,31JAN2024,WDR,2700.45,WIRE,5812,INT ACH REF856473,31JAN2024,USD
T000000016,A00000009,31JAN2024,TRF,305.22,MOBILE,5411,TRF ACH REF280271,31JAN2024,USD
T000000017,A00000010,31JAN2024,PMT,1904.99,POS,5812,PMT ACH REF794467,31JAN2024,USD
T000000018,A00000010,31JAN2024,PMT,1126.82,WIRE,6011,PMT ONLINE REF827225,31JAN2024,USD
T000000019,A00000010,31JAN2024,CHG,3.00,POS,5541,CHG ATM REF567784,31JAN2024,USD
T000000020,A00000011,31JAN2024,CHG,9.95,WIRE,6011,CHG POS REF260049,31JAN2024,USD
T000000021,A00000013,31JAN2024,INT,181.71,ONLINE,6011,INT ONLINE REF730581,31JAN2024,USD
T000000022,A00000013,31JAN2024,WDR,247.17,POS,5541,WDR ATM REF291541,31JAN2024,USD
T000000023,A00000015,31JAN2024,WDR,190.97,MOBILE,5541,WDR MOBILE REF299245,31JAN2024,USD
T000000024,A00000016,31JAN2024,FEE,25.00,MOBILE,5541,FEE MOBILE REF435918,31JAN2024,USD
T000000025,A00000018,31JAN2024,TRF,-40.81,WIRE,6011,TRF POS REF941118,31JAN2024,USD
T000000026,A00000020,31JAN2024,WDR,110.39,POS,5812,WDR ATM REF396252,01FEB2024,USD
T000000027,A00000021,31JAN2024,FEE,12.00,BRANCH,5541,FEE BRANCH REF837813,01FEB2024,USD
T000000028,A00000021,31JAN2024,CHG,12.00,ACH,5411,CHG ACH REF713799,31JAN2024,USD
T000000029,A00000021,31JAN2024,PMT,3054.53,ACH,5912,PMT ACH REF880813,31JAN2024,USD
T000000030,A00000022,31JAN2024,DEP,49.36,ONLINE,5541,DEP ACH REF978986,31JAN2024,USD
T000000031,A00000023,31JAN2024,CHG,12.00,BRANCH,5912,CHG ATM REF228810,31JAN2024,USD
T000000032,A00000023,31JAN2024,PMT,1701.30,ATM,5812,PMT ACH REF163434,01FEB2024,USD
T000000033,A00000023,31JAN2024,CHG,9.95,BRANCH,5812,CHG MOBILE REF230588,01FEB2024,USD
T000000034,A00000025,31JAN2024,FEE,35.00,ATM,4900,FEE MOBILE REF875649,31JAN2024,USD
T000000035,A00000025,31JAN2024,DEP,1737.46,POS,5812,DEP ONLINE REF506127,31JAN2024,USD
T000000036,A00000026,31JAN2024,INT,48.67,BRANCH,5912,INT ATM REF767309,31JAN2024,USD
T000000037,A00000027,31JAN2024,WDR,98.33,ATM,5541,WDR ATM REF148296,01FEB2024,USD
T000000038,A00000027,31JAN2024,TRF,-128.98,ATM,7011,TRF ACH REF394642,31JAN2024,USD
T000000039,A00000027,31JAN2024,WDR,526.63,POS,4900,WDR WIRE REF664483,31JAN2024,USD
T000000040,A00000031,31JAN2024,TRF,-408.59,POS,4900,TRF ATM REF662228,01FEB2024,USD
